Targeting,Match Type,Bid Value,Suggested lower bid range,Suggested upper bid range,Impressions,Spend,Click-Thru Rate (CTR),Total Return on Advertising Spend (RoAS),Clicks,14 Day Total Sales (₹),14 Day Conversion Rate,14 Day Total Units (#),14 Day Total Orders (#),Category
knee pain oil,EXACT,31.35,14.7882926835244,36.2406,14.0,31.35,0.0714285714285714,0.0,1.0,0.0,0.0,0.0,0.0,['Косметика']
knee pain oil,EXACT,31.35,14.79,36.2406,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Косметика']
knee pain oil,EXACT,31.35,14.79,36.2406,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Косметика']
knee pain oil,EXACT,31.35,14.79,36.2406,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Косметика']
knee pain oil,EXACT,31.35,14.79,36.2406,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Косметика']
knee pain oil,EXACT,31.35,14.79,36.2406,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Косметика']
knee pain oil,EXACT,31.35,14.79,36.2406,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Косметика']
knee pain oil,EXACT,31.35,14.79,36.2406,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Косметика']
knee pain oil,EXACT,31.35,14.79,36.2406,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Косметика']
knee pain oil,EXACT,31.35,14.79,36.2406,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Косметика']
knee pain oil,EXACT,31.35,14.79,36.2406,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Косметика']
knee pain oil,EXACT,31.35,14.79,36.2406,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Косметика']
knee pain oil,EXACT,31.35,14.79,36.2406,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Косметика']
knee pain oil,EXACT,31.35,14.79,36.2406,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Косметика']
knee pain oil,EXACT,31.35,14.79,36.2406,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Косметика']
knee pain oil,EXACT,31.35,14.79,36.2406,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Косметика']
knee pain oil,EXACT,31.35,14.79,36.2406,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Косметика']
knee pain oil,EXACT,31.35,14.79,36.2406,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Косметика']
