Date,Portfolio name,Currency,Campaign Name,Ad Group Name,Targeting,Match Type,Impressions,Clicks,Click-Thru Rate (CTR),Bid Value,Suggested lower bid range,Suggested upper bid range,Spend,Total Advertising Cost of Sales (ACoS),Total Return on Advertising Spend (RoAS),14 Day Total Sales (₹),14 Day Total Orders (#),14 Day Total Units (#),14 Day Conversion Rate
2020-02-02,Not grouped,INR,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain Relief Oil -SP-Generic,knee pain oil,EXACT,21,0,0.0,₹ 31.35,₹ 14.79,₹ 36.24,₹ 0.00,0.0,0.0,₹ 0.00,0,0,0.0
2020-02-03,Not grouped,INR,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain Relief Oil -SP-Generic,knee pain oil,EXACT,42,0,0.0,₹ 31.35,₹ 14.79,₹ 36.24,₹ 0.00,0.0,0.0,₹ 0.00,0,0,0.0
2020-02-04,Not grouped,INR,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain Relief Oil -SP-Generic,knee pain oil,EXACT,41,0,0.0,₹ 31.35,₹ 14.79,₹ 36.24,₹ 0.00,0.0,0.0,₹ 0.00,0,0,0.0
2020-02-05,Not grouped,INR,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain Relief Oil -SP-Generic,knee pain oil,EXACT,11,0,0.0,₹ 31.35,₹ 14.79,₹ 36.24,₹ 0.00,0.0,0.0,₹ 0.00,0,0,0.0
2020-02-06,Not grouped,INR,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain Relief Oil -SP-Generic,knee pain oil,EXACT,48,0,0.0,₹ 31.35,₹ 14.79,₹ 36.24,₹ 0.00,0.0,0.0,₹ 0.00,0,0,0.0
2020-02-07,Not grouped,INR,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain Relief Oil -SP-Generic,knee pain oil,EXACT,13,0,0.0,₹ 31.35,₹ 14.79,₹ 36.24,₹ 0.00,0.0,0.0,₹ 0.00,0,0,0.0
2020-02-08,Not grouped,INR,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain Relief Oil -SP-Generic,knee pain oil,EXACT,3,0,0.0,₹ 31.35,₹ 14.79,₹ 36.24,₹ 0.00,0.0,0.0,₹ 0.00,0,0,0.0
2020-02-09,Not grouped,INR,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain Relief Oil -SP-Generic,knee pain oil,EXACT,15,0,0.0,₹ 31.35,₹ 14.79,₹ 36.24,₹ 0.00,0.0,0.0,₹ 0.00,0,0,0.0
2020-02-10,Not grouped,INR,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain Relief Oil -SP-Generic,knee pain oil,EXACT,8,0,0.0,₹ 31.35,₹ 14.79,₹ 36.24,₹ 0.00,0.0,0.0,₹ 0.00,0,0,0.0
2020-02-11,Not grouped,INR,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain Relief Oil -SP-Generic,knee pain oil,EXACT,2,0,0.0,₹ 31.35,₹ 14.79,₹ 36.24,₹ 0.00,0.0,0.0,₹ 0.00,0,0,0.0
2020-02-12,Not grouped,INR,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain Relief Oil -SP-Generic,knee pain oil,EXACT,14,0,0.0,₹ 31.35,₹ 14.79,₹ 36.24,₹ 0.00,0.0,0.0,₹ 0.00,0,0,0.0
2020-02-13,Not grouped,INR,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain Relief Oil -SP-Generic,knee pain oil,EXACT,22,0,0.0,₹ 31.35,₹ 14.79,₹ 36.24,₹ 0.00,0.0,0.0,₹ 0.00,0,0,0.0
2020-02-14,Not grouped,INR,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain Relief Oil -SP-Generic,knee pain oil,EXACT,7,0,0.0,₹ 31.35,₹ 14.79,₹ 36.24,₹ 0.00,0.0,0.0,₹ 0.00,0,0,0.0
2020-02-15,Not grouped,INR,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain Relief Oil -SP-Generic,knee pain oil,EXACT,4,0,0.0,₹ 31.35,₹ 14.79,₹ 36.24,₹ 0.00,0.0,0.0,₹ 0.00,0,0,0.0
2020-02-16,Not grouped,INR,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain Relief Oil -SP-Generic,knee pain oil,EXACT,61,0,0.0,₹ 31.35,₹ 14.79,₹ 36.24,₹ 0.00,0.0,0.0,₹ 0.00,0,0,0.0
2020-02-17,Not grouped,INR,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain Relief Oil -SP-Generic,knee pain oil,EXACT,144,0,0.0,₹ 31.35,₹ 14.79,₹ 36.24,₹ 0.00,0.0,0.0,₹ 0.00,0,0,0.0
2020-02-18,Not grouped,INR,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain Relief Oil -SP-Generic,knee pain oil,EXACT,14,0,0.0,₹ 31.35,₹ 14.79,₹ 36.24,₹ 0.00,0.0,0.0,₹ 0.00,0,0,0.0
2020-02-19,Not grouped,INR,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain Relief Oil -SP-Generic,knee pain oil,EXACT,4,0,0.0,₹ 31.35,₹ 14.79,₹ 36.24,₹ 0.00,0.0,0.0,₹ 0.00,0,0,0.0
2020-02-20,Not grouped,INR,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain Relief Oil -SP-Generic,knee pain oil,EXACT,74,0,0.0,₹ 31.35,₹ 14.79,₹ 36.24,₹ 0.00,0.0,0.0,₹ 0.00,0,0,0.0
2020-02-21,Not grouped,INR,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain Relief Oil -SP-Generic,knee pain oil,EXACT,53,0,0.0,₹ 31.35,₹ 14.79,₹ 36.24,₹ 0.00,0.0,0.0,₹ 0.00,0,0,0.0
2020-02-22,Not grouped,INR,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain Relief Oil -SP-Generic,knee pain oil,EXACT,34,0,0.0,₹ 31.35,₹ 14.79,₹ 36.24,₹ 0.00,0.0,0.0,₹ 0.00,0,0,0.0
2020-02-23,Not grouped,INR,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain Relief Oil -SP-Generic,knee pain oil,EXACT,4,0,0.0,₹ 31.35,₹ 14.79,₹ 36.24,₹ 0.00,0.0,0.0,₹ 0.00,0,0,0.0
2020-02-24,Not grouped,INR,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain Relief Oil -SP-Generic,knee pain oil,EXACT,10,0,0.0,₹ 31.35,₹ 14.79,₹ 36.24,₹ 0.00,0.0,0.0,₹ 0.00,0,0,0.0
2020-02-25,Not grouped,INR,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain Relief Oil -SP-Generic,knee pain oil,EXACT,13,0,0.0,₹ 31.35,₹ 14.79,₹ 36.24,₹ 0.00,0.0,0.0,₹ 0.00,0,0,0.0
2020-02-26,Not grouped,INR,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain Relief Oil -SP-Generic,knee pain oil,EXACT,8,0,0.0,₹ 31.35,₹ 14.79,₹ 36.24,₹ 0.00,0.0,0.0,₹ 0.00,0,0,0.0
2020-02-27,Not grouped,INR,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain Relief Oil -SP-Generic,knee pain oil,EXACT,17,0,0.0,₹ 31.35,₹ 14.79,₹ 36.24,₹ 0.00,0.0,0.0,₹ 0.00,0,0,0.0
2020-02-28,Not grouped,INR,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain Relief Oil -SP-Generic,knee pain oil,EXACT,24,0,0.0,₹ 31.35,₹ 14.79,₹ 36.24,₹ 0.00,0.0,0.0,₹ 0.00,0,0,0.0
2020-02-29,Not grouped,INR,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain Relief Oil -SP-Generic,knee pain oil,EXACT,11,0,0.0,₹ 31.35,₹ 14.79,₹ 36.24,₹ 0.00,0.0,0.0,₹ 0.00,0,0,0.0
2020-02-02,Not grouped,INR,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain Relief Oil -SP-Generic,pain relief oil,EXACT,621,7,0.011272,₹ 37.49,₹ 13.99,₹ 27.39,₹ 262.40,0.818619,1.22,₹ 320.54,1,1,0.142857
2020-02-06,Not grouped,INR,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain Relief Oil -SP-Generic,pain relief oil,EXACT,612,0,0.0,₹ 38.66,₹ 20.76,₹ 26.44,₹ 0.00,0.0,0.0,₹ 0.00,0,0,0.0
2020-02-08,Not grouped,INR,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain Relief Oil -SP-Generic,pain relief oil,EXACT,1063,4,0.003763,₹ 24.88,₹ 13.33,₹ 12.29,₹ 99.50,0.310414,3.22,₹ 320.54,1,1,0.25
2020-02-12,Not grouped,INR,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain Relief Oil -SP-Generic,pain relief oil,EXACT,717,2,0.002789,₹ 29.28,₹ 2.77,₹ 55.43,₹ 58.56,0.182692,5.47,₹ 320.54,1,1,0.5
2020-02-21,Not grouped,INR,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain Relief Oil -SP-Generic,pain relief oil,EXACT,483,0,0.0,₹ 27.31,₹ 17.18,₹ 1.60,₹ 0.00,0.0,0.0,₹ 0.00,0,0,0.0
2020-02-22,Not grouped,INR,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain Relief Oil -SP-Generic,pain relief oil,EXACT,379,0,0.0,₹ 27.31,₹ 17.18,₹ 1.60,₹ 0.00,0.0,0.0,₹ 0.00,0,0,0.0
2020-02-24,Not grouped,INR,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain Relief Oil -SP-Generic,pain relief oil,EXACT,320,0,0.0,₹ 62.23,₹ 4.22,₹ 89.73,₹ 0.00,0.0,0.0,₹ 0.00,0,0,0.0
2020-02-26,Not grouped,INR,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain Relief Oil -SP-Generic,pain relief oil,EXACT,315,0,0.0,₹ 55.50,₹ 33.34,₹ 6.79,₹ 0.00,0.0,0.0,₹ 0.00,0,0,0.0
2020-02-29,Not grouped,INR,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain Relief Oil -SP-Generic,pain relief oil,EXACT,522,1,0.001916,₹ 62.96,₹ 22.18,₹ 61.06,₹ 62.96,0.208008,4.81,₹ 302.68,1,1,1.0
2020-02-01,Not grouped,INR,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain Relief Oil -SP-Generic,knee oil for pain,EXACT,40,0,0.0,₹ 38.12,₹ 28.44,₹ 4.61,₹ 0.00,0.0,0.0,₹ 0.00,0,0,0.0
2020-02-02,Not grouped,INR,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain Relief Oil -SP-Generic,knee oil for pain,EXACT,105,0,0.0,₹ 38.12,₹ 28.44,₹ 4.61,₹ 0.00,0.0,0.0,₹ 0.00,0,0,0.0
2020-02-03,Not grouped,INR,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain Relief Oil -SP-Generic,knee oil for pain,EXACT,38,0,0.0,₹ 38.12,₹ 28.44,₹ 4.61,₹ 0.00,0.0,0.0,₹ 0.00,0,0,0.0
2020-02-04,Not grouped,INR,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain Relief Oil -SP-Generic,knee oil for pain,EXACT,44,0,0.0,₹ 38.12,₹ 28.44,₹ 4.61,₹ 0.00,0.0,0.0,₹ 0.00,0,0,0.0
2020-02-06,Not grouped,INR,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain Relief Oil -SP-Generic,knee oil for pain,EXACT,28,0,0.0,₹ 38.12,₹ 14.69,₹ 6.85,₹ 0.00,0.0,0.0,₹ 0.00,0,0,0.0
2020-02-07,Not grouped,INR,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain Relief Oil -SP-Generic,knee oil for pain,EXACT,12,0,0.0,₹ 38.12,₹ 14.69,₹ 6.85,₹ 0.00,0.0,0.0,₹ 0.00,0,0,0.0
2020-02-09,Not grouped,INR,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain Relief Oil -SP-Generic,knee oil for pain,EXACT,16,0,0.0,₹ 30.93,₹ 14.69,₹ 6.85,₹ 0.00,0.0,0.0,₹ 0.00,0,0,0.0
